ID de respuesta;Fecha;Hora;A1. Edad ;A2. Identidad de género;A2. Identidad de género  [Otro];A3. Nivel Estudio;A4. Nacionalidad y residencia;A4o. Nacionalidad y residencia [Otro];A5. Provincia de residencia ;A5a. País Extranjero;A5b. Provincia/estado Extranjero;A6. Ámbito Actividad;A6o. Ámbito Actividad [Otro];A7. Rol Principal;A7o. Rol Principal [Otro];A8. Rol Secundario;A8o. Rol Secundario [Otro];A9. Situación Laboral;A10. Años Experiencia
4;13-02-2026;17:38:27;de 25 a 34;Persona no binaria;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Cádiz;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Guionista;;Autónoma con clientes habituales;2-5 años
5;13-02-2026;17:39:01;de 25 a 34;Persona no binaria;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Autora integral;;Asalariada con contrato indefinido;6-10 años
8;13-02-2026;17:43:58;de 25 a 34;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Autora integral;;Dibujante / Ilustradora;;Freelance / Por proyectos puntuales;Menos de 2 años
10;13-02-2026;17:48:13;de 35 a 44;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Barcelona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Diseñadora gráfica;;Dibujante / Ilustradora;;Sin actividad remunerada en el sector;2-5 años
11;13-02-2026;18:19:03;de 35 a 44;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Málaga;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Autora integral;;Dibujante / Ilustradora;;Autónoma con clientes habituales;Más de 15 años
14;13-02-2026;17:45:48;de 55 a 64;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Traductora;;Divulgadora / Crítica;;Autónoma con clientes habituales;Más de 15 años
18;13-02-2026;18:10:56;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;León;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Traductora;;Traductora;;Freelance / Por proyectos puntuales;Menos de 2 años
20;13-02-2026;17:58:50;de 25 a 34;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Otro;profesora;Freelance / Por proyectos puntuales;2-5 años
21;13-02-2026;18:00:50;de 25 a 34;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Zaragoza;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Autora integral;;Dibujante / Ilustradora;;Freelance / Por proyectos puntuales;Menos de 2 años
23;13-02-2026;18:02:29;de 35 a 44;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Málaga;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Autora integral;;Dibujante / Ilustradora;;Sin actividad remunerada en el sector;Más de 15 años
